number;disciplines_id;avgMark
405;745;4.585
406;746;4.445
407;748;4.16
408;750;4.676
409;752;4.337
410;754;4.059
411;758;4.4
412;759;4.051
413;763;4.114
414;765;4.094
415;766;3.85
416;767;3.96
417;769;4.182
418;770;3.405
419;772;4.136
420;773;4.174
421;786;4.017
422;787;2
423;788;4.511
424;791;4.521
425;792;3.779
426;796;3.833
427;802;4.824
428;804;3.773
429;805;3.963
430;809;4.524
431;810;3.885
432;814;4.02
433;815;3.667
434;817;3.863
435;818;4.815
436;821;2
437;823;3.95
438;824;4.28
439;826;3.709
440;827;3.705
441;830;2
442;831;3.413
443;838;4.72
444;840;4.313
445;843;4.526
446;844;4.216
447;845;3.951
448;846;3
449;848;2.633
450;850;4.308
451;853;4.531
452;854;4.548
453;856;3.188
454;862;3.852
455;863;2
456;865;4.424
457;867;3.972
458;868;3.923
459;874;4
460;875;3.167
461;876;4.02
462;877;3.27
463;879;4.226
464;881;4.243
465;882;4.421
466;883;2.941
467;885;4.697
468;889;3.409
469;890;4.722
470;892;4.091
471;893;4.239
472;895;4.407
473;896;3.327
474;897;3.957
475;899;4.333
476;900;4.231
477;901;4
478;905;4.211
479;909;5
480;910;2
481;917;3.797
482;918;4.806
483;924;3.772
484;925;4.032
485;927;4.875
486;930;4.5
487;931;4.692
488;933;4.529
489;934;4.591
490;935;4.484
491;937;4.102
492;938;3.476
493;941;4.464
494;942;4.73
495;944;4.4
496;946;3.5
497;947;3.745
498;949;4.059
499;952;4.559
500;955;4.174
501;956;4
502;958;2.368
503;960;2.278
504;961;5
505;962;4.222
506;964;4.66
507;966;3.689
508;968;4.733
509;969;4.358
510;973;4.25
511;974;3.943
512;975;4.31
513;976;4.765
514;978;4.482
515;979;2.182
516;980;4.615
517;983;4.774
518;984;3.667
519;985;3.42
520;987;4.333
521;988;4.533
522;989;4.444
523;994;4.462
524;995;3.424
525;996;2.965
526;998;4.258
527;1000;4
528;1001;3.25
529;1003;4.156
530;1004;4.733
531;1005;4.452
532;1007;4.8
533;1012;4.1
534;1013;3.86
535;1015;4.663
536;1017;3.526
537;1018;4.032
538;1019;3.741
539;1022;3.129
540;1026;4.167
541;1029;3.917
542;1031;3.893
543;1034;3.882
544;1035;4.516
545;1038;5
546;1040;3.25
547;1041;4.422
548;1044;4.857
549;1045;3.75
550;1050;4.6
551;1051;4.44
552;1054;4.356
553;1058;4.769
554;1062;4.308
555;1063;4.923
