number;name;avgMark
175;Базы данных;3.845
176;Теория вероятности и математическая статистика;3.683
177;Механика;2.706
178;Геология и геохимия нефти и газа;4.308
179;Термодинамика и теплопередача;4.063
180;Политология;2
181;Векторный и тензорный анализ;2.75
182;Математическая логика и теория алгоритмов;3.939
183;Спецсеминар по лингвистике;2.667
184;Спецкурс 71;2
185;Производственная практика;4.5
186;История России;3.272
187;Основы кристаллографии и минералогии;3.333
188;Начертательная геометрия, инженерная графика;3.833
189;Финансы, денежное обращение и кредит;2.2
190;Статистические методы контроля и управления;4.29
191;Практическая психология для студентов;2
192;Дифференциальные уравнения;3.307
193;Детали машин и основы конструирования;3.283
194;Специальные главы физики;4.435
195;Математика 3;3.068
196;Профессиональный иностранный язык (немецкий);2
197;Элементы компьютерной математики;4
198;Основы письменного перевода;2.333
199;Психология и педагогика;3.25
200;Адаптивные системы управления;4.098
201;Специальный физический практикум;4.615
202;Теория перевода;3
203;Экономическая оценка инвестиций;3.571
204;Спецкурс 76;2
205;Теоретическая фонетика;3
206;Практическая грамматика;4
207;Основы технической диагностики;3.65
208;Физика атома, атомного ядра и частиц;4.5
209;Физика горных пород;2.563
210;Основы эффективного речевого общения;2
211;Основы образовательной программы;2
212;Экономическая теория;3.417
213;Методика поиска и разведки месторождений полезных ископаемых;3
214;Практикум по культуре общения на первом иностранном языке;2.5
215;Практикум по культуре речевого общения (второй иностранный язык);3
216;Основы теории надежности;4
217;Творческий проект;2
218;Экономика и управление производством;4.091
219;Геология;3.971
220;Концепции современного естествознания;3.292
221;Теория менеджмента;3.478
222;Механика материалов и конструкций;2.667
223;Основы теории электрических цепей;3.9
224;Гидравлика;3.636
225;Физические основы электроники;3.963
226;Начертательная геометрия. Инженерная и компьютерная графика;3.533
227;Ресурсы Земли;2
228;Литология;3.89
229;Механика сплошной среды;3
230;Методы и средства исследований;2.667
231;Атомная физика;3.683
232;Физика диэлектрических материалов;2.917
233;Высшая математика;2.75
234;Основы экономической деятельности предприятий нефтегазового комплекса;2
235;Языки и методы программирования;4.171
236;Информатика и программирование;4.259
237;Математика 2.3;3.462
238;Электрофизические и плазменные установки;3.5
239;Стратегический менеджмент;4.078
240;Волоконно-оптические технологии;4.781
241;Теплотехника;3.154
242;Теория вероятностей и математическая статистика;3.37
243;Компьютерные расчеты в инженерной практике;3.5
244;Начальная профессиональная подготовка;2
245;Электроэнергетика;2
246;Физика 3;3.185
247;Основы автоматизации физического эксперимента;2
248;Механика. ;3.5
249;Специальные главы высшей математики;5
250;Компьютерные технологии;3.448
251;Экономико-математические методы;4
252;Термодинамика и тепломассообмен;2
253;Геодезическое обеспечение строительства нефтегазовых объектов;3.395
254;Банковское дело;4
255;Введение в основы Общей теории систем;2
256;Цифровые системы управления;4.265
257;Основы проектирования энергетического оборудования атомных электростанций;2
258;Русский язык;3.361
259;Тепловые и атомные электрические станции;3.394
260;Менеджмент и маркетинг;3
261;Тепломассообмен в энергетическом оборудовании;4.043
262;Проектирование сложных программных систем;2
263;Методы контроля технологических параметров ядерных энергетических установок;2
264;Базы и банки данных;3
265;Математический анализ 2;3.323
266;Экономика предприятия;3.44
267;Ядерные реакторы;4.167
268;Подземный ремонт нефтяных и газовых скважин;3
269;Оптика;3.667
270;Военная подготовка;2.5
271;Экономика предприятия,организация и управление производством;3
272;Физическая и коллоидная химия;2.974
273;Промышленные типы месторождений полезных ископаемых;3.875
274;Правовые основы недропользования;2
275;Геохимические методы поисков месторождений полезных ископаемых;2.75
276;Общая теория измерений;4
277;Органическая химия;3.576
