number;name;avgMark
687;Актуальные проблемы и инновации в приборостроении;5
688;Численные методы и математическое моделирование;4.094
689;Информационные системы и технологии;3.85
690;Проектирование энерго- и ресурсосберегающих производств;3.96
691;Методы защиты окружающей среды;4.182
692;Математика 2 (ЭТО);3.405
693;Теория поля;3
694;Вычислительные машины,системы и сети;4.136
695;Начертательная геометрия и инженерная графика 1.5;4.174
696;Машины и оборудование для сооружения газонефтепроводов;2
697;Структурная геология с основами геокартирования;3.375
698;Академическая живопись;4
699;Промышленная экология;2.75
700;Линейная алгебра и аналитическая геометрия (ЭТО);2
701;Источники питания для сварки;2.286
702;Специальный рисунок;3.222
703;Современные проблемы инноватики;2
704;Ядерные энергетические установки;4.017
705;Математическое моделирование объектов теплоэнергетики;2
706;Автоматизированные информационно-управляющие системы;4.511
707;Взаимодействие излучения и плазмы с веществом;2.667
708;Линейная алгебра;3
709;Размерный анализ конструкций изделий;4.521
710;Физика 3.2;3.779
711;Инженерно-геологическая графика 1.4;4.5
712;Реакторы и парогенераторы АЭС;3.833
713;Химические реакторы;2.857
714;Экономика труда;2
715;Технология котло- и парогенераторостроения;2
716;Воздействие плазмы и пучков заряженных частиц на вещество;4.5
717;Современные конструкции котлов различного назначения;2
718;Материаловедение и технологии современных и перспективных материалов;4.824
719;Автоматизация проектирования систем и средств управления;4
720;Нагнетатели АЭС;3.773
721;Монтаж,эксплуатация и ремонт оборудования отрасли;3.963
722;Котельные установки и парогенераторы;2.667
723;Всеобщее управление качеством;4.524
724;Программное обеспечение АСУ ТП;3.885
725;Введение в инженерное изобретательство;2
726;Монтаж оборудования ТЭС;2
727;Хозяйственное право;2
728;Расчет и конструирование основного оборудования отрасли;4.02
729;Технические средства систем автоматики и управления;3.667
730;Основы мехатроники и робототехники;2.5
731;Ядерные энергетические реакторы;3.863
732;Микропроцессорные системы управления и контроля;4.815
733;Корпоративные информационные системы;3.4
734;Геометрия и алгебра. Часть 2;4
735;Введение в проектную деятельность;2
736;Специальная живопись;2
737;Физико-химические основы и технологии подготовки,транспорта и хранения углеводородов;3.95
738;Коррозия и защита металлов;4.28
739;Атомные электростанции;3.709
740;Механика 1.3;3.705
741;Виды и тенденции развития туризма в регионе;2
742;Математическое моделирование физических процессов;3.333
743;Начертательная геометрия и инженерная графика 2.2;2
744;Программирование и алгоритмизация;3.413
745;Практический курс первого иностранного языка (английский);2
746;Системный анализ процессов химической технологии;2.2
747;Физические основы электромеханики;2.5
748;Организация и планирование производства;2
749;Технологические процессы в машиностроении;3.5
750;САПР компонентов мехатронных модулей;2
751;Технологии обработки информации;4.72
752;Автоматизация сварочных процессов;4.313
753;Практический курс второго иностранного языка (немецкий);2
754;Методы современной математики для инженеров. Часть 1;5
755;Методы математического моделирования;4.526
756;Технологические процессы создания наноструктурных материалов для отраслей наноиндустрии;4.216
757;Углубленный курс органической химии;3.951
758;Планирование и организация научно-исследовательских и опытно-конструкторских работ;3
759;Технология и Материаловедение;4
760;География;2.633
761;Химия 2.4;3
762;Обеспечение качества измерений;4.308
763;Основы атомной энергетики;2
764;Информационное моделирование;3
765;Радиохимия;4.531
766;Современные коммуникационные системы;4.548
767;Физические основы ресурсоэффективных технологий;2
768;Механика 2.3;3.188
769;Социально-экономическая статистика;2.625
770;Основы обеспечения качества;3
771;Информационные технологии в энергетическом машиностроении;2
772;Национальная экономика;3.852
773;Спецглавы экологии;2
774;Сети ЭВМ и телекоммуникации;2
775;Бизнес-планирование;4.424
776;Актуальные проблемы современной электроники и наноэлектроники;2
777;Сети и телекоммуникации;3.972
778;Химия и технология диэлектрических материалов;3.923
779;Основы электроснабжения;2
780;История языкознания;2
781;Специальные методы упрочнения деталей;3.25
782;Практикум бизнес-планирования;4
783;Специальная химия;3.167
784;Петрофизика;4.02
785;Эконометрика;3.27
786;Прикладная химическая термодинамика;4.226
787;Функциональное и логическое программирование;2
788;Дистанционные методы исследования;4.243
789;Геохимия природных сред;4.421
790;Компьютерное моделирование в нефтегазовом деле;2.941
791;Сравнительная типология (английский);2
792;Диагностика материалов;4.697
793;Информационные технологии в дизайне;3.667
794;Техническая физика;2
795;Математическое моделирование и методы оптимизации;3.409
796;Изотопный,химический и структурный анализ поверхности методами атомной физики;4.722
797;Типы и структуры данных;5
798;Энергоэффективность преобразования и транспортировки электроэнергии;4.091
799;Статистическая физика;4.239
800;Теоретические основы обработки геофизической информации;4.407
801;Управление человеческими ресурсами;3.327
802;Физика 2 (ЭТО);3.957
803;Физика взаимодействия;3
804;Экономика отраслевых рынков;4.333
805;Основы физики твердого тела;4.231
806;Физико-химические основы тепломассообменных процессов;4
807;Элементы теории упругости;2.333
808;Управление финансами предприятия;2
809;Проектирование и разработка Web-приложений;5
810;Основы оптики;4.211
811;Управление интеллектуальными ресурсами компании;2
812;Оценка материальных и нематериальных активов;2
813;Методы функционального анализа в экономических и инженерных расчётах;5
814;Институциональная экономика;2
815;Экономическая история;3.25
816;Туристское ресурсоведение;2
817;Методология научных исследований;2
818;Физика 3.4;2.5
819;Философия здорового образа жизни;2
820;Математика 3 (ЭТО);3.797
821;Дозиметрия и основы радиационной безопасности;4.806
822;Специальные главы материаловедения;2
823;Экономика общественного сектора;3.75
824;Линейные и нелинейные уравнения физики;2.5
825;Механика 1.4;2
826;Палеонтология;3
827;Коллоидная химия;3.772
828;Химия урана,тория,плутония;4.032
829;Современные информационные технологии;4
830;Конструкции,расчет и моделирование мехатронных производственных модулей;4.875
831;Основы палеонтологии,общая стратиграфия;2
832;Экскурсоведение;2
833;Системы ориентации,стабилизации и навигации;4.5
834;Метрологическое обеспечение и испытания систем ориентации и навигации;4.692
835;Интерфейсы микропроцессорных систем;4.529
836;Автоматизация химико-технологических процессов;4.591
837;Управление рисками,системный анализ и моделирование;4.484
838;Методы расчета устойчивости энергосистем;2.5
839;Противоаварийное управление в энергосистемах;4.102
840;Управляемые электропередачи;3.476
841;Компьютерные сети и системы телекоммуникаций;2
842;Минералогия с основами петрографии;2
843;Сейсморазведка месторождений нефти и газа;4.464
844;Экологическая безопасность;4.73
845;Технология получения и транспортировки сжиженного газа;4.714
846;Гидрогеологические расчеты;4.4
847;Основы электроизоляционной и кабельной техники;3.5
848;Технология сварки плавлением и термической резки;3.745
849;Технологические процессы в электроизоляционной технике;2
850;Методы и средства управления бизнес-процессами;4.059
851;Автоматизация конструкторского и технологического проектирования;4
852;Основы ядерных технологий;2
853;Нефтяные дисперсные системы;4.559
854;Общая металлургия;2
855;Математика 2.6;4.174
856;Исследование и моделирование систем электроснабжения;4
857;Математические методы моделирования в геологии;2.368
858;Промышленно-финансовый аудит;2
859;Медико-биологические основы безопасности жизнедеятельности;2.278
860;Экономика природопользования и сметно-финансовые расчёты;5
861;Бурение нефтяных и газовых скважин;4.222
862;Современные проблемы информатики и вычислительной техники;2
863;Основы трибологии;4.66
864;Методы и средства проектирования информационных систем и технологий;3.689
865;Теория проектирования технических систем;3
866;Компьютерные технологии в инженерной деятельности;4.733
867;История и философия науки;4.358
868;Методы современной математики для инженеров;2
869;Проектирование и производство приборов и систем ориентации;4
870;Экспериментальные методы в сильноточной электронике;4.125
871;Методы исследований геологических формаций;4.25
872;Основы программирования и алгоритмизации в области автоматизации;3.943
873;Инфокоммуникационные системы и сети;4.31
874;Многоразрядные микроконтроллеры;4.765
875;Основы инженерной геологии;2
876;Управление нефтегазовыми технологическими процессами;4.482
877;Электронные устройства;2.182
878;Автоматизированное проектирование приборов и систем;4.615
879;Электронные устройства мехатронных и робототехнических систем;2.5
880;Гироскопы и акселерометры на новых физических принципах;4
881;Методы органического синтеза в биотехнологии;4.774
882;Проектирование электроэнергетических систем и сетей;3.667
883;Физическая химия техносферы;3.42
884;Прикладная гидродинамика;3
885;Гидрологические расчёты и динамика русловых потоков;4.333
886;Гидрогеохимия;4.533
887;Генерирование и измерение высоковольтных и сильноточных сигналов;4.444
888;Электроника в приборостроении;3
889;Информационная безопасность;2
890;Прикладная теплофизика;2.667
891;Компьютерная графика в промышленном дизайне;4.462
892;Петрография;3.424
893;Источники и системы теплоснабжения предприятий;2.965
894;Технологические процессы и производства;2
895;Современные проблемы теплоэнергетики,теплотехники и теплотехнологий;4.258
896;Основы поисков и разведки месторождений полезных ископаемых;2.667
897;Математика 1.6;4
898;Алгебра и геометрия 1.5;3.25
899;Коммерциализация: российский и международный опыт;5
900;Геоинформационные системы;4.156
901;Приборы и установки для анализа твердого тела;4.733
902;Информационные технологии в сфере безопасности;4.452
903;Качество электрической энергии в системах электроснабжения;4.8
904;Нетрадиционные способы производства электроэнергии;4.5
905;Месторождения полезных ископаемых;2.75
906;Физика газового разряда;4.1
907;Обработка воды на АЭС;3.86
908;Компьютерное моделирование физических явлений;2.75
909;Физика плазмы;4.663
910;Проблемно-ориентированный проект;5
911;Моделирование мехатронных,робототехнических систем;3.526
912;Инженерный эксперимент;4.032
913;Математическое моделирование в электроэнергетике;3.741
914;Установки и системы низкотемпературной техники;4
915;Холодильные машины и установки;4.857
916;История экономических учений;3.129
917;Информационные инструменты при принятии решений;5
918;Историко-культурное наследие основных регионов туризма;2
919;Рисунок в промышленном дизайне;4.167
920;Теория языков программирования и методы трансляции;3.5
921;Горные машины и проведение горно-разведочных выработок;2
922;Охрана труда в электроэнергетике;3.917
923;Основы системного анализа;2
924;Технологии эксплуатации нефтяных и газовых скважин;3.893
925;Основы научных исследований,организация и планирование эксперимента;3.882
926;Программная инженерия;4.516
927;Спецглавы физики. Физические основы электронной техники;2
928;Спецглавы физики. Вакуумная,плазменная и твердотельная электроника;3
929;Дефекты в твердых телах и модифицирование материалов;5
930;Тепломассообменные аппараты низкотемпературных установок;5
931;Информационные технологии и технический рисунок в дизайне;3.25
932;Интеллектуальные системы;4.422
933;Теоретические аспекты прикладной биотехнологии;2
934;Материалы и элементы электронной техники;4
935;Обеспечение безопасности технологических процессов и производств;4.857
936;Перенос энергии и массы,основы теплотехники;3.75
937;Минералогия с основами кристаллографии;3
938;Проектирование бизнес-приложений в корпоративных информационных системах;2.667
939;Финансовые институты;2
940;Аккумулирующие свойства водорода в металлах и сплавах;4.6
941;Физико-химические процессы и теплообмен в трактах котельных установок;4.44
942;Современные проблемы науки и производства в энергетическом машиностроении;2
943;Охрана труда;2
944;Инновационное развитие химической технологии органических веществ;4.356
945;Геохимия;2.333
946;Практический курс первого иностранного языка;2
947;Основы ресурсоэффективности;2
948;Стратегии управления организациями;4.769
949;Геофизика;3.5
950;Организация работ по техническому обслуживанию и ремонту нефтегазового оборудования;2
951;Технология изготовления объемных наноматериалов;4.308
952;Наноматериалы и окружающая среда: применение и оценка рисков;4.923
953;Бурение скважин;4.172
954;Методы исследования вещественного состава руд и минералов;2
955;Клеточная биотехнология;4.125
956;Организация НИОКР;3.5
957;Математический анализ 1.5;3.333
958;Методы тестирования эксплуатационных характеристик наноматериалов;4.308
959;Биобезопасность биотехнологических производств;4.813
960;Математическое моделирование в электроизоляционной,кабельной и конденсаторной технике;3.909
961;Оборудование производств редких элементов;4.258
962;Минералогия техногенных образований;2
963;Прикладная физика;3
964;Геофизические методы и интерпретация данных при разведке и разработке месторождений полезных ископаемых;4.952
965;Физико-механические и тепловые процессы при резании материалов;3
966;Ядерная физика. Физические установки;2
967;Эксперимент и математические методы обработки результатов;4.958
968;Химическая технология ядерного топлива;4.5
969;Основы производственного мастерства;4.4
970;Организация производства и менеджмент;2
971;Маркетинг инноваций (ЭТО);2
972;Основы петрофизики и геофизический контроль в бурении и эксплуатации скважин;4.074
973;Компьютерные технологии в науке и производстве;4.412
974;Процессы и оборудование атомных электростанций,как технологические объекты управления;4.321
975;Современные проблемы инструментального обеспечения машиностроительных производств;4.833
976;Маркетинг инновационного продукта;4.364
977;Дифракционные, спектроскопические и зондовые методы и оборудование для диагностики структуры и свойств наноматериалов;4.538
978;Математическое моделирование и компьютерные технологии в машиностроении;4.357
979;Методы и средства обработки измерительных сигналов;4.233
980;Современные проблемы инноватики. Часть 1;4.333
981;Электронные промышленные устройства;4.563
982;Методы аналитического контроля в производстве материалов современной энергетики;4.226
983;Системы управления химико-технологическими процессами;3.856
984;Комплексный анализ;3.467
985;Физические основы наноматериалов;2
986;Управление компанией на основе бережливого производства;4.792
987;Автоматизированный электропривод нефтегазовой отрасли;4.556
988;Основы теории первого иностранного языка;2
989;Криовакуумная техника;4.571
990;Системы программного обеспечения нефтегазовых производств;3
991;Неразрушающие методы контроля;4
992;Ландшафтоведение;3.833
993;Экономика и менеджмент безопасности;4.103
994;Электромагнитные переходные процессы в электроэнергетических системах;3.692
995;Математическое моделирование многокомпонентных химических и массобменных процессов;4.778
996;Искусство презентации;5
997;Системы обработки и отображения информации;4.326
998;Основы плазменных и радиационных технологий;4.421
999;Мониторинг безопасности;2
1000;Математические основы измерений;3
1001;Сканирующая зондовая микроскопия;4.8
1002;Радиационные эффекты в твердых телах;4.125
1003;Специальные методы сварки и пайки;4.438
1004;Современный стратегический анализ;4.517
1005;Компьютерные технологии решения задач электроснабжения;4
1006;Ресурсоэффективные технологии в теплогенерирующих установках;4.216
1007;Машины и оборудование нефтегазовых объектов;4.385
1008;Бухгалтерская (финансовая) отчетность;2
1009;Общая геохимия;2.286
1010;Электромагнитная совместимость;2
1011;Новые конструкционные материалы;4.292
1012;Английский язык для студентов  участников программы ERASMUS;5
1013;Бюджетирование;5
1014;Сварка специальных сталей и сплавов;2
1015;Радиационные эффекты в конденсированных средах;5
1016;Компьютерные технологии в машиностроении;4.383
1017;Промышленная санитария;4.452
1018;Основы теории и практики коммуникации;2
1019;История искусств и культура профессионального общения;3.263
1020;Статистические методы в экономике;4
1021;Оптимизация в технике управления;3.676
1022;Проектирование автоматизированных систем;3.636
1023;Дифференциальные уравнения. Ряды и комплексный анализ;2
1024;Информационная безопасность и защита информации в сетях ЭВМ;4.436
1025;Теория вычислительных процессов;2.667
1026;Технология и оборудование сварки плавлением и термической резки;2
1027;Магнитные элементы электронных устройств;4.2
1028;Технологии решения изобретательских задач;2
1029;Физические основы источников излучений;3.647
1030;CADCAMCAE - системы в программных пакетах;3.625
1031;Тепловые процессы в технологии тугоплавких неметаллических и силикатных материалов;3.75
1032;Квалиметрия;4.167
1033;Дополнительные главы математики (Финансовая математика);4
1034;Теплофизические процессы в криогенных системах;4.857
1035;Экспертиза безопасности;4.517
1036;Системная инженерия;4.833
1037;Исследование водохозяйственных систем и природно-техногенных комплексов;5
1038;Организация производства на предприятиях;3.808
1039;Технология и организация производства продукции и услуг;2
1040;Межкультурный менеджмент;2
1041;Теория электрических цепей;3
1042;Физико-химические методы исследований биологически активных веществ;4.487
1043;Основы бухгалтерского учета;2
1044;Академические живопись и рисунок;4
1045;Ликвидация аварийных разливов нефти;4.253
1046;Деловой иностранный язык;2
1047;Технологии разработки нефтяных и газовых месторождений;4.806
1048;Цифровые устройства;4.093
1049;Электромагнитные переходные процессы;3.247
1050;Венчурное финансирование;2
1051;Управление изменениями;4.444
1052;Немецкий язык для иностранцев: уровень А1;4
1053;Информационные системы в экономике;2
1054;Проектирование и технология электронной компонентной базы;4.875
1055;Современные технологии проектирования электротехнических устройств и изделий;4.429
1056;Химическая кинетика гетерогенных процессов;2.667
1057;Документационное обеспечение СМК;2
1058;Информационные технологии в управлении качеством и защита информации;2
1059;Подготовка систем качества и производства к сертификации;4.353
1060;Гидрогеология и гидрология;2
1061;Архитектура вычислительных систем;2.333
1062;Испанский язык,уровень А2;5
1063;Основы кристаллографии;4.222
1064;Мировая культура;2
1065;Базы данных маркетинга;5
1066;Бухгалтерский управленческий учет;2
1067;Право;4
1068;Теория принятия решений;4.578
1069;Электронный маркетинг и маркетинг услуг;5
1070;Правовые основы управленческой деятельности;2
1071;Математика 2.7;3.345
1072;Фандрайзинг;2
1073;Договоры и сделки;2
1074;Искусство ведения переговоров;2
1075;Контактные явления в соединениях технологических машин;4.5
1076;Петрофизика нефтяного пласта и физико-химические свойства пластовых флюидов;4.333
1077;Инновационное предпринимательство и опыт предпринимательской деятельности;2
1078;Управление затратами;5
1079;Импульсная энергетика и электроника;4.25
1080;Расчет и конструирование электроизоляционных систем;3
1081;Оптимизация и энергосбережение;3
1082;Налоги и налогообложение;3.811
1083;Основы инженерно-производственной подготовки;2.744
1084;Основы горного дела;2.455
1085;Методологические проблемы современной нефтегазовой науки;4.793
1086;Техническая механика;3
1087;Методы анализа продуктов биотехнологии;4.533
1088;Моделирование химико-технологических процессов;3.71
1089;Инженерная графика.CAD 2.1;4
1090;Функциональные материалы;2
1091;Основы конструкции и проектирования электрических печей;2.333
1092;Физико-химические основы металлургических процессов;2.333
1093;Методы контроля и анализа веществ;2.667
1094;Картография;4.19
1095;Менеджмент инноваций;3.938
1096;Металлургические технологии;4
1097;Методы и средства защиты компьютерной информации;2
1098;Поверхностное упрочнение и модификация поверхности;2.667
1099;Вычислительные системы;4.641
1100;Лабораторный практикум;4.606
1101;Динамические процессы в технологических машинах;4.917
1102;Интегрирование в системы электроснабжения установок возобновляемой энергетики;4.234
1103;Методы выделения продуктов биотехнологии;4.6
1104;Компьютерное моделирование;4.7
1105;Основы автоматизации производственных процессов;3
1106;Основы теории и технологии производства стали;2.75
1107;История горного дела;2
1108;Оценка инвестиций;2.5
1109;Применение специализированных программных комплексов для эксплуатации энергосистем;4.3
1110;Энергоснабжение;4.2
1111;Электрооборудование промышленности;3.914
1112;Геоинформационные системы в геологии;3
1113;Геофизические исследования скважин;3.98
1114;Коррозия и защита от коррозии газонефтепроводов;2
1115;Экономика энергетики;2.375
1116;Специальные вопросы электроснабжения;3.939
1117;Мировая экономика и международные экономические отношения;4.667
1118;Алгебра и геометрия 2.5;3.216
1119;Религиоведение;3
1120;Управление качеством окружающей среды;4.867
1121;Физические основы плазменной обработки металлов;2
1122;Технологии нанесения покрытий;4.261
1123;Автоматизированное проектирование средств и систем управления;4.222
1124;Металлургическая теплотехника;3.5
1125;Подготовка руд к плавке;3.615
1126;Современные проблемы электротехники;2
1127;Информационные системы по управлению проектами;5
1128;Производство чугуна и прямое получение железа;3.313
1129;Корпоративные финансы;4.118
1130;Основы САПР в автомобиле- и тракторостроении;3.294
1131;Конструкторский проект;2.5
1132;Физико-химические и тепловые процессы при сварке;3.55
1133;Теоретическая механика 1.1;4
1134;Автоматизация управления системами электроснабжения ;3
1135;Энергетика теплотехнологий;3.615
1136;Экономика производства;2
1137;Современные проблемы теории управления;4.389
1138;Планирование и обработка экспериментальных данных;3.934
1139;Методы получения чистых веществ;4.097
1140;Автоматика;3.333
1141;Оптические материалы и технологии;4.067
1142;Системы подготовки электронной технической документации;3.905
1143;Математическое моделирование процессов в компонентах природы;4.733
1144;Компьютерные технологии управления в технических системах;4.333
1145;Производственный менеджмент;3.25
1146;Начертательная геометрия и инженерная графика 2.5;2
1147;Строительные конструкции;3
1148;Основы градостроительства и планировка населенных мест;4.175
1149;Термодинамические циклы АЭС;3.82
1150;Надежность электроснабжения;4.714
1151;Системный анализ,моделирование и оптимизация в машиностроении;2
1152;Информационные технологии в проектировании сложных систем;3
1153;Методы испытаний электротехнических материалов и изделий;2
1154;Методы полевой геофизики;4.308
1155;Радиационная физика твердого тела;4.674
1156;Математическое моделирование в электротехнике;4.206
1157;Прикладная геодезия;3.818
1158;Интегрированные системы проектирования и управления;4
1159;Автоматизация технологических процессов и производств;2.5
1160;Теоретические основы поисков и разведки нефти и газа;3.667
1161;Расчет и проектирование сварных конструкций;2.964
1162;Технология бурения нефтяных и газовых скважин;4.384
1163;Минералогия и кристаллография;4.25
1164;Основы технологии бурения скважин;4.231
1165;Компьютерные технологии решения задач энергоснабжения;4
1166;Теоретические основы электротехники 1.1;3.573
1167;Основы производственного менеджмента и экономика отрасли;3.5
1168;История развития агропромышленных технологий;2
1169;Физико-химические основы теплотехнических процессов;3
1170;Дозиметрия и защита от ионизирующих излучений;4.938
1171;Теоретические основы создания информационного общества;4.261
1172;Котельные установки промышленных предприятий;3.83
1173;Основы безопасности критических технологий;4.677
1174;Проектирование и эксплуатация релейной защиты и автоматики энергосистем;4.377
1175;Надежность и долговечность машин;4.065
1176;Буровзрывные работы;2.929
1177;Инженерия требований к системам;4.5
1178;Промышленные контроллеры;3.257
1179;Микроэкономика - 2;3.941
1180;Проектирование корпоративных сетей;4
1181;Физика ядерного реактора;4
1182;Электрические машины автоматических устройств;2.833
1183;Научно-исследовательская практика;5
1184;Управление проектами;2
1185;Инноватика высшего образования. Часть 1;4.4
1186;Системный анализ;4.111
1187;Основы ядерного нераспространения и безопасного обращения с ядерными материалами;4.508
1188;Микропроцессоры и микроконтроллеры;3.757
1189;Комплексирование геофизических методов при поисках нефти и газа;3
1190;Установившиеся режимы ЭЭС,современные методы и средства их расчета;4.3
1191;Топливо и материалы ядерной техники;3.667
1192;Ядерные энергетические технологии;4.695
1193;Средства управления режимами энергосистем на базе силовой полупроводниковой техники;3.65
1194;Профессиональный иностранный язык (французский);2
1195;Управление качеством образовательных программ,включая их аккредитацию. Часть 2;5
1196;Асимптотические методы;5
1197;Организация инновационной деятельности предприятий;4.135
1198;Ресурсосбережение в металлургии;2
1199;Теория информации и ее приложение в автоматизированных системах;4.25
1200;Гибкие производственные системы и автоматизированные технологии производства;4.833
1201;Проектирование и разработка инноваций;2
1202;Математический анализ 2.5;3.556
1203;Экономический анализ и управление производством;2
1204;Биохимия,физиология и анатомия человека;3
1205;Математика 3.7;3.378
1206;Геотектоника;2.5
1207;Ядерная геофизика и радиометрия скважин;3.977
1208;Теория систем и системный анализ;4.2
1209;Спецкурс геофизических исследований скважин;3
1210;Профессиональный иностранный язык (немецкий,ЭТО);2
1211;Оптические и световые измерения;4.353
1212;Методы исследований терригенных и карбонатных природных резервуаров;4.607
1213;Физика 2.4;3.478
1214;Научно-исследовательский семинар;2
1215;Математика 1.3;3.95
1216;Приборы и методы контроля природной среды,веществ,материалов и изделий;4.35
1217;Динамика мехатронных производственных модулей;4.833
1218;Внепечные и ковшовые процессы;4.167
1219;Информационные технологии в светотехнике и оптотехнике;4.406
1220;Электропривод переменного тока;4.583
1221;Методы исследования материалов и процессов;3.727
